dataset_subset_group_subgroup,class_name,definition
SOILS SOIL_METADATA INSTITUTIONS,SoilInstitution,"Institutions involved in preparing the soil data"
SOILS SOIL_METADATA PERSONS,SoilPerson,"Persons involved in preparing the soil data"
SOIL SOIL_PROFILES PROFILE_METADATA,SoilProfile,"Background information on a single profile"
SOIL SOIL_PROFILES SOIL_PROFILE,SoilProfile,"Soil profile data for individual pedons"
SOIL SOIL_PROFILES SOIL_PROFILE SOIL_PROFILE_LAYERS,SoilProfileLayer,"Soil profile layer"
WEATHER WEATHER_METADATA GENERAL,Weather,"Daily weather data from one or more stations"
WEATHER WEATHER_METADATA DOCUMENTS,WeatherDocument,"Documents describing the source or applications of the weather data"
WEATHER WEATHER_METADATA INSTITUTIONS,WeatherInstitution,"Institutions involved in preparing the weather data"
WEATHER WEATHER_METADATA PERSONS,WeatherPerson,"Persons involved in preparing the weather data"
WEATHER WEATHER_STATION STATION_METADATA,WeatherStation,"Daily weather data typically for a single experiment or season, but preferably for a complete year or longer"
WEATHER WEATHER_STATION WEATHER_DAILY,DailyWeather,"Daily weather data from a single weather station"
WEATHER WEATHER_STATION WEATHER_GENER_PARMS,WeatherStationParameter,"Parameters for weather generators that are applicable to the station"
SUITE METADATA DOCUMENTS,SuiteDocument
SUITE METADATA GENERAL,Suite
SUITE METADATA INSTITUTIONS,SuiteInstitution
SUITE METADATA PERSONS,SuitePerson
EXPERIMENT DOME SIMULATION AGMIP,Simulation,
